id,lastname,firstname,first_g,last_g
travv901,Travis,Vic,19950426,19950502
treil901,Treitel,Les,19780825,19790519
tremd901,Tremblay,Dick,19700707,19790518
tromu901,Trombold,,19390925,19390925
trubh101,Truby,Harry,19090414,19090629
trusu901,Trusty,,19390722,19490815
tscht901,Tschida,Tim,19850724,20120825
tumpj901,Tumpane,John,20100802,20241009
turnc101,Turner,Cool,19350811,19410901
turnl901,Turner,Leo,19780825,19780825
turnu901,Turner,Pop,19360912,19480710
ulrig901,Ulrich,George,19950427,19950502
umonf901,Umont,Frank,19540413,19730930
unggu901,Ungglow,,19490618,19490618
urbau901,Urban,,19370901,19370909
urchw901,Urchak,Woody,19780825,19790513
uremj901,Uremovich,Jim,19910408,19950502
urlad901,Urlage,Dick,19790501,19910408
valeb901,Valentine,Bill,19630409,19680915
valej901,Valentine,Junior,20200826,20241002
vallj901,Vallee,Jeremiah,19290929,19290929
vanbm901,Van Buren,Mark,19440730,19480929
vangm901,Van Graflan,M.,19460718,19460718
vangr901,Van Graflan,Roy,19270420,19331001
vanne901,Vann,Earl,19400824,19610820
vanol901,Vanover,Larry,19910625,20240922
vansc901,Van Sickle,Charles,19140531,19140816
vanvm901,Vanvleet,Mike,20000412,20020825
varge901,Vargo,Ed,19600412,19831016
vaugs901,Vaughn,Sylvester,19460816,19490918
venzt901,Venzon,Tony,19570416,19710525
viscj901,Visconti,Jansen,20180417,20241018
vogeu901,Voget,,19370914,19380828
vogiu901,Vogi,,19331006,19331006
volau901,Vola,,19370914,19420630
voltv901,Voltaggio,Vic,19770407,19960411
vondc901,Vondrak,Clint,20200810,20240922
vorou901,Voros,,19420818,19420818
vydau901,Vydareny,,19490710,19490710
wadeu901,Wade,,19300921,19300921
walbu901,Walbert,,19271007,19271007
waldl901,Walding,Larry,19950426,19950502
walkh901,Walker,Harry,19321002,19450923
walku901,Walker,,19200829,19310617
walla901,Wallin,Al,19331002,19390820
wallb101,Wallace,Bobby,19150607,19151003
wallg901,Walls,Greenie,19350929,19420816
wallj105,Wall,Joe,19011005,19011005
wallj901,Waller,Jim,19790518,19790518
wallu901,Wallace,,19370514,19370514
walsb901,Walsh,Brian,20230418,20240929
walse101,Walsh,Ed,19220412,19220722
walsf901,Walsh,Frank,19610911,19630929
walst901,Walsh,Tommy,19370714,19370809
waltb102,Walters,Bucky,19420501,19470710
waltb901,Walton,Benny,19960422,19960422
waltu902,Walters,,19451003,19451003
wardh901,Ward,Harry,19271023,19450729
wardn901,Ward,Norris,19440717,19440717
wardu902,Ward,,19380725,19380725
wareu901,Ware,,19430525,19440801
warnj103,Warner,Jack,19010521,19081003
warnl101,Warneke,Lon,19400513,19550925
warru901,Warren,,19470518,19470622
washj101,Washington,Jasper,19450808,19480707
washu901,Washington,Pat,19370508,19370705
wasnu901,Wasner,,19300705,19300928
wateu901,Waters,,19380702,19380702
watsu901,Watson,,19370901,19370901
weafh901,Weafer,Hal,19430421,19470928
wegnm901,Wegner,Mark,19980520,20241002
weicu901,Weichert,,19320927,19370811
weidc901,Weiderquist,Chet,19440710,19440822
weidf901,Weidig,Fritz,19490614,19490614
weigu901,Weigel,,19460716,19460716
weimj101,Weimer,Jake,19050911,19070829
weimu901,Weimer,,19450909,19460617
welkb901,Welke,Bill,19990604,20220821
welkt901,Welke,Tim,19830614,20151004
wendh901,Wendelstedt,Harry,19660413,19980927
wendh902,Wendelstedt,Hunter,19980419,20240929
wessu901,Wessel,,19390714,19390714
westf901,Westervelt,Frederick,19110919,19230815
westj901,West,Joe,19760914,20211006
westu902,Westbrook,,19470828,19470828
westw901,West,Walker,19440507,19490401
weyel901,Weyer,Lee,19610913,19880704
whalb901,Whaley,Bart,19950501,19950502
whalu901,Whaley,,19390913,19390913
wheeu901,Wheeler,,19200801,19341012
whitc901,Whitson,Chad,20140515,20240929
whitd104,White,Doc,19020725,19030701
whitu901,White,,19130809,19461012
whitu902,Whitney,,19460620,19490524
whitu903,Whiting,,19410724,19420711
wickd901,Wickham,Dan,19900604,19920816
wicku901,Wickham,,19370727,19370727
widlm901,Widlowski,Mark,19950425,19950502
widnd901,Widner,Dewey,19371010,19431107
wilhk101,Wilhelm,Kaiser,19040726,19151003
willa901,Williams,Art,19720918,19771002
willb901,Williams,Bill,19630814,19870629
willb902,Willman,Bob,19910408,19950502
willc901,Williams,Charlie,19780428,20010902
willd902,Williams,Dale,19780825,19790518
willh901,Williams,H.,19480529,19490816
willl901,Williams,Lew,20200802,20230824
willl902,Williams,Les,19281007,19361007
willp103,Williams,Poindexter,19370515,19480929
willr901,Wills,Ryan,20200822,20240929
willt901,Williford,Tex,19450814,19450814
willu901,Williamson,,19331010,19410614
willu902,Willig,,19420517,19420818
willw901,Williams,Wallace,19510812,19520817
wilsf901,Wilson,Frank,19210413,19280603
wilsj105,Wilson,Jimmie,19400513,19400513
winam901,Winans,Matt,19940526,19940811
wingr901,Wing,Red,19251205,19260102
winsu901,Winston,,19380807,19380807
wintg101,Winter,George,19030502,19050918
wintm901,Winters,Mike,19880709,20190804
wissu901,Wissel,,19461010,19490826
